,name,tweet,retweets,location,created,followers,is_user_verified
0,SecularKenyan,"Wanjiku must keep her heads up high.
#BBIReport does not even talk about land. Do you know why? Because Jayden owns land equal to Rwanda.
#RejectBBI https://t.co/c97QlxKFz8",0,"Nairobi, Kenya",11-Nov-2020,257,False
1,migwi_wagura,Kenyans will suffer a lot of this bbi passes..greed of leaders now being seen.. #RejectBBI,0,Nyeri,11-Nov-2020,652,False
2,KwanBoKiptoo,"@RobertAlai #BBINonsense will fail, watch this space. #RejectBBI",0,,11-Nov-2020,388,False
3,baringo_kingpin,"@Belive_Kinuthia #RejectBBI
 We the youths must speak the truth and demand what we want",0,"Elburgon, Kenya",11-Nov-2020,7893,False
4,KwanBoKiptoo,"@WilliamsRuto Am on a #RejectBBI until otherwise!. My irriducible minimum is HSC and YC MUST BE ANCHORED IN THE CONSTITUTION. If they will NOT consider this, I am prepared to VOTE NO even if My PRESIDENT(5TH) @WilliamsRuto will be on a YES side!. #BBINonsense",0,,11-Nov-2020,388,False
5,christo35384237,@RobertAlai Be sober for once and #RejectBBI,0,Nairobi,11-Nov-2020,260,False
6,job_kariuki,Uhuru and Raila are so full of selves that they believe their blueprint to power will pass without including divergent views. The shock that will befall them is immeasurable; we will #RejectBBI as early as 6AM. We can't allow Billionaires to change constitution for own benefits,0,"Nairobi, Kenya",11-Nov-2020,422,False
7,Gichukimureithi,"@iamrotich_ @RJerop_ And how is it actually going to achieve that?
Until they listen to the youths and their inclusivity. 
This BBI model is just a scheme for the elite few to enrich themselves and redirect their failures for not working for the for wananchi for the past 10yrs.#RejectBBI",0,"Nairobi, Kenya",11-Nov-2020,430,False
8,Gachari_ke,"There is something fishy about this report. Critical issues affecting common mwananchi are not clearly addressed.
#RejectBBI  
#BBInoContest",1,Nairobi,11-Nov-2020,505,False
9,poor_milionaire,"@iamrotich_ BBI is a scam
#RejectBBI",0,"Kitui, Kenya",11-Nov-2020,383,False
10,SSulisuli,@kinyuaguru @davidmakali1 @MarkDienya No now. No tomorrow. No forever. The Dynasties have taken us through enough turns. We are where we are because of them. They can not solve our problem. We reject them. We reject their power sharing and retainance plan. #RejectBBI .,0,"kehancha, kenya",11-Nov-2020,204,False
11,KosRobaa,@RobertAlai Who are you to lecture the 5th🤣🤣🤣odm blogger #RejectBBI,0,Nakuru,11-Nov-2020,85,False
12,bettedwin,@RobertAlai BBI is nothing but fraud by Uhuru to stick to power... #RejectBBI and protect the family ill-gotten wealth!! we know what is making your mouth long and your brain small.... The handouts. You can't eat without vomiting on our shoes??!!,0,nairobi,11-Nov-2020,239,False
13,ayodo_change,The #BBIFraud is an initiative meant to save the dwindling political career of one man Raila Odinga and protect the business interests of a few privileged families (I don't want to mention). Kenyans who care about the future of this country must come together and #RejectBBI.,0,,11-Nov-2020,9087,False
14,mulindi_osome,@RailaOdinga Kenyans are no longer blind followers. The Constitution belongs to Kenyans. Any amendments thr' BBI must include the wishes of majority or at least their voices shld be heard. Unless you are making the changes to suit you n only you. #BBINonsense #RejectBBI,0,"Luanda Western, Kenya",11-Nov-2020,1888,False
15,nelsonmwangi00,"@RailaOdinga This document is not your personal property as you have to approve what will be there and what will not.
#RejectBBI 

This is a fraud process",0,Kenya,11-Nov-2020,272,False
16,MataraMachuma,This headline is worrying 😭224 billion shillings in 3 Years @YouthAdvocateKe #BBIReport #RejectBBI #BBINonsense #BBI https://t.co/4aJbdmR3B6,0,kenya,11-Nov-2020,50262,False
17,Tabisonresearch,"Do you need some help with data analysis?. get in touch with us on 0707-586-214 or 0711-599-683. Visit https://t.co/81Z7mIUWQd
Pompeo|Harambee Stars| SUGOI|Bush|Ruiru|Naivasha
#Python
#BBIReport 
#RejectBBI 
#BBIfraud
#BarakaZaMilele 
#Statistics
#thesis
#alexnatrickymilele https://t.co/dGf563VaZj",1,,11-Nov-2020,189,False
18,JymohK,"@KenyaGovernors @county_forum @GovWOparanya @MwangiWaIria @AnneWaiguru @governorkibwana @CogChairman #RejectBBI  you are all self centred,what of important have you discussed concerning #wanjiku ? Only how to shelf you from responsibilities so that you can loot everything from the county? God have mercy",0,,11-Nov-2020,1,False
19,Ras_wawesh,"You wanna buy something online but you have no dollars? I got you covered! Visit https://t.co/jlunzGAigL for more information.
#RejectBBI 
#RejectTrump",0,"Nairobi, Kenya ",11-Nov-2020,544,False
20,Francix_Munyoki,"Is this Gladys Boss Sholei analyzing the BBI Report this perfectly? Bravo 👍
Meanwhile, #RejectBBI https://t.co/cKgGcpKpus",7,"Coast, Kenya",11-Nov-2020,1711,False
21,harryreagan_,"Telegram link ...
Join @harrypost
#telegram #RejectBBI #AI",1,Kenya Nairobi,11-Nov-2020,22,False
22,AbubakarGhafar,"Spineless and spineless.
#RejectBBI",0,"Nairobi, Kenya",11-Nov-2020,141,False
23,PeteroMaina,"The level of entitlement and Selfishness in our leadership is unhinged. They want to shove this document into our throats,  do we have to swallow it. NO. #RejectBBI https://t.co/14EOBX37b8",0,🇭🇰 🇰🇪 ,11-Nov-2020,3994,False
24,olango_yuda,Kenya has a huge political vacancy that seems very hard to fill; @MusaliaMudavadi is too CONSENSIOUS to fill it @WilliamsRuto has a wounded character to fill @skmusyoka is too water mellonious' to fill it and the rest  of the politicians are not even SHORTLITABLE #RejectBBI,0,"Nairobi, Kenya",11-Nov-2020,630,False
25,olango_yuda,The feeling on the street has it that Kenyans are being forced and NOT persuaded into supporting #BBIReport  #RejectBBI,0,"Nairobi, Kenya",11-Nov-2020,630,False
26,DreamerWoken,"And just like that,two kingpins want a referendum for their selfish gains!This BBI thing is projected to cost 14 BILLION while we have kids in Northern Kenya dying of hunger?
Clearly,power is power!
#RejectBBI https://t.co/Wlkt0YZKTq",0,,11-Nov-2020,0,False
27,Collo10_Cfc,"@OliverMathenge How do we prepare? We could be harvesting rain water right now but the big boys ate money ment for the Dams. 

They are now distributing 100litres drums and wheelbarrows. Sad

#RejectBBI",0,"Nairobi, Kenya",11-Nov-2020,4563,False
28,MogulAntonio,The President doesn't have to consult mwananchi on everything. Sometimes you just do what is the best for the country regardless. #RejectBBI,0,,11-Nov-2020,42,False
29,MogulAntonio,Embrace BBI reject wheelbarrows &amp; mikokoteni #RejectBBI,0,,11-Nov-2020,42,False
30,schoolatika,"Related Chemistry Questions and Answers on Sulphur and its Compounds Form  3  Level
KCSE Chemistry Q &amp; A - MODEL 2001.PP1.QN.11 - ATIKA SCHOOL https://t.co/yGK5VmrCre 
#maths 
#RejectBBI 
#chemistry 
#chemistryworld 
@RoySocChem 
@ChemistryWorld 
#Nairobi 
pompeo
#Python",0,"Nairobi, Kenya",11-Nov-2020,926,False
31,schoolatika,"Related Chemistry Questions and Answers on Metals  Form  4  Level
KCSE Chemistry Q &amp; A - MODEL 2001.PP1.QN.12 - ATIKA SCHOOL https://t.co/kLmKRbWmFH 
#chemistry 
#chemistryworld 
#RejectBBI 
#maths",0,"Nairobi, Kenya",11-Nov-2020,926,False
32,its_charloo,You wonder #RejectBBI https://t.co/5qNkFhGVZ4,0,Kikuyu,11-Nov-2020,798,False
33,schoolatika,"Related Chemistry Questions and Answers on Chemical Families  Form  2  Level
KCSE Chemistry Q &amp; A - MODEL 2001.PP1.QN.13 - ATIKA SCHOOL https://t.co/YpjkNzubep 
#chemistry 
#chemistryworld 
#RejectBBI 
#maths",0,"Nairobi, Kenya",11-Nov-2020,926,False
34,schoolatika,"Related Chemistry Questions and Answers on Sulphur and its Compounds Form  3  Level
KCSE Chemistry Q &amp; A - MODEL 2001.PP1.QN.14 - ATIKA SCHOOL https://t.co/85xIqV0Vrb 
#chemistry 
#chemistryworld 
#maths 
#RejectBBI",0,"Nairobi, Kenya",11-Nov-2020,926,False
35,schoolatika,"Related Chemistry Questions and Answers on organic chemistry i  Form  3  Level
K.C.S.E Chemistry Q &amp; A - MODEL 2013.PP1.QN.7 - ATIKA SCHOOL https://t.co/VHO43wukHc 
#chemistry 
#chemistryworld 
#RejectBBI 
#maths",0,"Nairobi, Kenya",11-Nov-2020,926,False
36,schoolatika,"Related Chemistry Questions and Answers on Sulphur and its Compounds Form  3  Level
KCSE Chemistry Q &amp; A - MODEL 2001.PP1.QN.15 - ATIKA SCHOOL https://t.co/JAj6SEbVtS 
#chemistry 
#chemistryworld 
#RejectBBI",0,"Nairobi, Kenya",11-Nov-2020,926,False
37,David1Mutai,"“There are two BBIs: The ‘Mwanasiasa BBI’ and the ‘Mwananchi BBI’,”

-Gladies Shollei 

Let’s open our eyes and focus on destroying the Mwanasiasa BBI.  

Raila and Uhuru have fooled us all... but wamepatikana sasa. #RejectBBI #dynastiesmustfall https://t.co/CT5plX4Ag0",12,,11-Nov-2020,8358,False
38,KinyaTene,"@HonMillieO @WilliamsRuto To cure the teargas Monday, rigging, malpractice etc. We need to deal with the real issues affecting the election process. To dilute the ideology of my tribe's turn to rule we need to bring an electoral college system at the county ward. #RejectBBI #BBIReport #BBI",0,,11-Nov-2020,8,False
39,KinyaTene,"@HonMillieO @WilliamsRuto Hahaha. You are forgetting one very important point. We did not ask for BBI, Mr Ruto did not ask for BBI, Mr Odinga did. #BBI will never cure the teargas Monday because the process of electing the President is still the same. Refusing to accept defeat is the problem. #RejectBBI",0,,11-Nov-2020,8,False
40,jsplinterz,"@KBonimtetezi I wonder why we are even debating about it, let's #RejectBBI  and we stick to the current COK.",0,"Toronto, Ontario🇰🇪🇨🇦",10-Nov-2020,14,False
41,Yvonne79566268,"The #BBIReport is an example of continued leadership failure by these party leaders  👉🏽 @RailaOdinga @MusaliaMudavadi @skmusyoka &amp; Uhuru @StateHouseKenya 
They have failed to guide their elected officials  to debate policies &amp; legislation in parliament &amp;senate.

#RejectBBI",0,,10-Nov-2020,11,False
42,Mwikiah,Any sane Kenyan who loves this country should #RejectBBI and Raila in totality.,0,"Maua, Kenya",10-Nov-2020,825,False
43,AlexNjenga205,Reject it #RejectBBI,0,Uknown ,10-Nov-2020,4991,False
44,Sen2027N,We are two years until our next general election.Apparently it seems like 3months to that during to the campains mood that is prevailing all over.Just to snap in something here; BBI is not adressing the real issues with the common mwanachi and if we truly believe #RejectBBI,0,Anonymous,10-Nov-2020,46,False
45,johnchege,"@David1Mutai @GladysShollei Wezi! #RejectBBI #BBINonsense #BBIfraud. No wonder @AtwoliDza cannot hide his glee at chest-thumping who will be who in 2022, kumbe they have fooled around (monkey business) with the selection of IEBC Commissioners.
WEZI WAKORA! #RejectBBI #BBINonsense #BBIFraud.
SHINDWE!",0,Nairobi,10-Nov-2020,2096,False
46,RamseyHANS,the Politricks of the power-hungry bellies led by Vitendawili... #RejectBBI #BBINonsense https://t.co/IO256uPbsj,0,nakuru,10-Nov-2020,1018,False
47,Jamesmwariri12,I will use my power which is my vote to reject impunity that leaders have...selfish leaders #RejectBBI,0,"Mombasa, Kenya",10-Nov-2020,3,False
48,opondo_miriam,"@WilliamsRuto Your Excellency. in addition to this PWDs submissions has been ommited from the documents. 
the documents seriously need amendment if it's meant for unity of the county. otherwise #rejectBBI #if it can not guarantee unity.",0,,10-Nov-2020,5,False
49,David1Mutai,"“The BBI proposes far reaching changes in the manner in which electoral commissioners are nominated to office..it bestows all power upon only two people - RAILA ODINGA &amp; UHURU KENYATTA” @GladysShollei 

If you still needed a reason to reject the BBI report, here it is: #RejectBBI https://t.co/Byszp8T8uB",13,,10-Nov-2020,8358,False
50,kalibouy_ke,Whatever happens do not take the mark of the beast the covid vaccine #RejectBBI,0,Nairobi kenya code -254,10-Nov-2020,982,False
51,ShermKipkorir,Raila thought BBI was going to save his political conmanship. Sadly it is going to end in tears especially now that there was no show off of either Kenyatta or Tinga himself in Naivasha where CoG were presenting their views. #RejectBBI it is here to benefit only political class,0,"Nairobi, Kenya",10-Nov-2020,175,False
52,Mwongel2,@RailaOdinga Why push the scam to the people. If is trully made for the people then allow the other voices to be included. You’ve been so mean to others for political gains. #RejectBBI,0,"Nairobi, Kenya",10-Nov-2020,185,False
53,Yvonne79566268,"@citizentvkenya Those amendments should have been recommended to the parliament and the senate.
That’s their job. To debate legislation and policy.
#RejectBBI",0,,10-Nov-2020,11,False
54,AmenyaIII,"William Ruto &amp; democracy in the same sentence? Please don't confuse facts and fiction. 
#RejectBBI  #FagiaWote https://t.co/xIlSMxf2JB",0,"Nairobi, Kenya",10-Nov-2020,80,False
55,Yvonne79566268,"@ledamalekina Your job (Senate &amp; Parliament) is to debate legislation &amp; policies, why are we Kenyans being asked to do your job?

Stop letting @RailaOdinga &amp; his crooked brazer weaken institutions.

#tumechokaa &amp; ur receiving salary

#RejectBBI  &amp; stop the weakening of institutions in Kenya.",0,,10-Nov-2020,11,False
56,Yvonne79566268,"#RejectBBI its an attack on independent institutions in Kenya. 
The senate and parliament should be allowed to do their job without intimidation from politicians with crooked agendas and confused personal ambitions.

#RejectBBI also because #uhurumustgo , he’s a walking disaster.",0,,10-Nov-2020,11,False
57,Yvonne79566268,"@RailaOdinga Stop weaking institutions in Kenya by hijacking their jobs. The Senate and parliament should do what they are paid to do. Legislation and policy making.

Shame on you.

#RejectBBI",0,,10-Nov-2020,11,False
58,Collo10_Cfc,"@KBonimtetezi Why can't you guys come up with your document? I thought you were not interested in the process from the word go.

Kumbe mlikuwa mnasimamisha reggae mdandie? 🤣😜

Wait and #RejectBBI at the ballot box.",0,"Nairobi, Kenya",10-Nov-2020,4563,False
59,Yvonne79566268,"#BBIReport is a shameless attack on the Kenyan parliament and Senate by the @RailaOdinga and Uhuru Kenyatta.

MP’s and Senators are paid to debate policy and legislation issues. 

Their job has been hijacked by political ambitions of two people.

#RejectBBI 
#uhurumustgo",0,,10-Nov-2020,11,False
60,KiharaFrancisM,"@citizentvkenya Nonsense!!
All this time Wanjiku's interests have not been prioritized.
So let's just #RejectBBI",0,Corona mortis,10-Nov-2020,489,False
61,RichuJeremy,"It's time we take the yoke of tribalism and dynasties from our necks and support the will of the people. #BBINonsense #RejectBBI
This country belongs to all of us. This entitlement has to end.",0,"Nairobi, Kenya",10-Nov-2020,290,False
62,Mugo__john,"The constitution is not a document for political prostitution.

It is a covenant made by people of a nation about how they want to be led.

It cannot be used as a foothold to help revitalize one's dwindling political fortunes or to avoid ceding power 
#RejectBBI",0,"Nakuru, Kenya",10-Nov-2020,3318,False
63,David1Mutai,"@citizentvkenya Why is Raila Odinga dictating the whole country as if it was his ODM? 

Why would he behave as if he owns Kenya? Why are Kenyans being made to beg to freely contribute to the ongoing constitutional review process? 

Mr. Raila Odinga has become a DICTATOR! 

#Newsnight #RejectBBI",0,,10-Nov-2020,8358,False
64,WanjikuKenya,"@KBonimtetezi @KenyaGovernors Omwami there's NO consensus over @KenyaGovernors OUTRAGEOUS attempt to LIMIT LIABILITY for FINANCIAL IMPROPRIETY by Governors as County CEOs. Shielding Governors frm CRIMINAL CULPABILITY for Corruption in the Counties &amp; blame process owners (Accountants, COs, CECs). #RejectBBI",0,,10-Nov-2020,11406,False
65,WanjikuKenya,"Omwami there's NO consensus over @KenyaGovernors OUTRAGEOUS attempt to LIMIT LIABILITY for FINANCIAL IMPROPRIETY by Governors as County CEOs. Shielding Governors frm CRIMINAL CULPABILITY for Corruption in the Counties &amp; blame process owners (Accountants, COs, CECs). #RejectBBI https://t.co/UH5DvxSYTm",0,,10-Nov-2020,11406,False
66,josiah_gatuni,"And breaking every conceivable law, undermining the constitution, our rights and freedoms. #RejectBBI . These dictatorships are the worst in history. Atleast the older one existed when there were less zombies. Not much can be said today. https://t.co/arF1GofVdi",0,,10-Nov-2020,353,False
